TimePeriod,Inst g,Avg g,Lengths
61.667,0.01038,0.00584,1.0
84.172,0.00557,0.02011,1.0
48.772,0.43151,0.43151,26.0
12.895,6.17292,3.30221,26.0
26.049,1.51269,1.60497,26.0
1.332,578.52838,1.60497,26.0
45.156,0.61955,0.61955,32.0
1.624,479.00244,21.86754,32.0
133.063,0.05574,0.05574,25.0
414.84299,0.00206,0.00206,9.0
11.521,2.67684,1.47939,9.0
81.102,0.16205,0.16205,27.0
49.878,0.47606,0.47606,30.0
14.915,5.32396,2.90001,30.0
30.012,1.22724,1.22724,28.0
8.758,14.41146,7.81935,28.0
5.745,33.49174,11.61867,28.0
11.563,8.26755,3.97724,28.0
14.211,5.47354,1.57513,28.0
1.996,277.45764,1.22891,28.0
89.194,0.13895,0.17098,28.0
6.228,28.49841,3.10631,28.0
15.49,4.60697,0.49608,28.0
3.072,117.13194,0.76313,28.0
28.587,1.35264,0.15113,28.0
1.391,571.29907,0.15113,28.0
1.405,559.97052,0.15113,28.0
1.684,389.79263,0.15113,28.0
7.364,20.38404,1.36901,28.0
8.253,16.22909,1.09988,28.0
13.379,6.17548,0.36744,28.0
1.488,499.24295,0.36744,28.0
1.78,112.14045,1.9855,9.0
196.17101,0.00923,0.09974,9.0
1.609,137.24301,1.45129,9.0
1.918,96.58398,0.26386,9.0
16.972,1.23349,0.0651,9.0
15.892,3.12631,3.12631,20.0
1.409,397.71115,4.68355,20.0
12.272,5.24275,4.24462,20.0
29.816,0.39967,0.92886,9.0
1.816,107.73842,4.63158,9.0
13.179,2.04568,0.95389,9.0
16.436,1.31526,0.28364,9.0
15.106,1.55705,0.20452,9.0
31.225,0.36442,0.05689,9.0
3.895,23.42002,1.94185,9.0
17.738,1.12926,0.10109,9.0
20.158,0.87439,0.06724,9.0
17.895,1.10953,0.05751,9.0
33.54,0.31585,0.01697,9.0
13.187,2.0432,0.08957,9.0
1.798,109.90639,0.27972,9.0
10.767,3.06488,0.13371,9.0
17.178,1.20408,0.09075,9.0
1.848,104.03952,0.74399,9.0
2.314,66.3553,0.74399,9.0
1.83,106.09626,0.09285,9.0
3.685,26.1654,0.78908,9.0
8.045,5.48972,0.17001,9.0
1.35,194.95515,1.21643,9.0
16.715,3.67384,0.0938,26.0
2.337,187.93851,0.67985,26.0
4.676,46.94444,1.0132,26.0
2.308,192.69102,0.40598,26.0
